Handle,Name,Description,Brand,Type,QuantityStock,Price,PictureUrl,Count of items,
animal-print-hair-band-various-colours,Animal Print Furry Hair Band (Various Colours),"It doesn't need pointing out that this fur is faux, partly because the only creature that would prod",Docblack,Accessories,100,3.95,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB187_Hair_Band_Silver_Leopard_PrintPS.jpg?1257429506,1,"new Product{Name = ""Animal Print Furry Hair Band (Various Colours)"" , Description =""It doesn't need pointing out that this fur is faux, partly because the only creature that would prod"",Price =3.95 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB187_Hair_Band_Silver_Leopard_PrintPS.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Accessories"" ,QuantityInStock =1 },"
bejewelled-black-diamond-skull-belt-buckle,Bejewelled Black Diamond Skull Belt Buckle ,"Diamonds are a girl's best friend, according to the Marilyn Monroe. Not true. Diamonds like everyone",Docblack,Accessories,99,14.95,http://cdn.shopify.com/s/files/1/0028/4062/products/DB46_SkullBeltBuckle.jpg?1257429506,2,"new Product{Name = ""Bejewelled Black Diamond Skull Belt Buckle "" , Description =""Diamonds are a girl's best friend, according to the Marilyn Monroe. Not true. Diamonds like everyone"",Price =14.95 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/DB46_SkullBeltBuckle.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Accessories"" ,QuantityInStock =2 },"
skull-and-cross-belt-buckle,"Belt Buckle - Silver Bulldog ""Boss"" ",Looks like Bruce Springsteen might have a fight on his hands as to who really is 'The Boss'. After a,Docblack,Accessories,100,12.95,http://cdn.shopify.com/s/files/1/0028/4062/products/DB47_BulldogBeltBuckle.jpg?1257429506,3,"new Product{Name = ""Belt Buckle - Silver Bulldog ""Boss"" "" , Description =""Looks like Bruce Springsteen might have a fight on his hands as to who really is 'The Boss'. After a"",Price =12.95 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/DB47_BulldogBeltBuckle.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Accessories"" ,QuantityInStock =3 },"
skull-and-cross-gold-and-black-belt-buckle,Belt Buckle - Skull and Cross Gold and Black Adornment,"Featuring the mandatory mixture of skulls and crosses, this buckle is the  perfect way to jazz up on",Docblack,Accessories,100,9.95,http://cdn.shopify.com/s/files/1/0028/4062/products/DB45_CrossBeltBuckle_1.jpg?1257429506,4,"new Product{Name = ""Belt Buckle - Skull and Cross Gold and Black Adornment"" , Description =""Featuring the mandatory mixture of skulls and crosses, this buckle is the  perfect way to jazz up on"",Price =9.95 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/DB45_CrossBeltBuckle_1.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Accessories"" ,QuantityInStock =4 },"
zebra-print-bikini, Zebra Print Bikini,"I hear that zebra print swimwear is rather 'in' at the moment, and has been seen on everyone from Ch",Docblack,Bikinis,100,14.99,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB341_Zebra_Print_Bikini2.jpg?1257429506,1,"new Product{Name = "" Zebra Print Bikini"" , Description =""I hear that zebra print swimwear is rather 'in' at the moment, and has been seen on everyone from Ch"",Price =14.99 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB341_Zebra_Print_Bikini2.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Bikinis"" ,QuantityInStock =1 },"
pink-zebra-print-bikini,Pink Zebra Print Bikini,"This a shade of pink is just on the right side of acid (...pink, I mean, not the drug. That's just a",Docblack,Bikinis,100,14.99,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB339_Pink_Zebra_Bikini2.jpg?1257429506,2,"new Product{Name = ""Pink Zebra Print Bikini"" , Description =""This a shade of pink is just on the right side of acid (...pink, I mean, not the drug. That's just a"",Price =14.99 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB339_Pink_Zebra_Bikini2.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Bikinis"" ,QuantityInStock =2 },"
purple-zebra-print-bikini,Purple Zebra Print Bikini,"If zebras were this colour in the wild...well, the giraffes would be pretty jealous thats for sure! ",Docblack,Bikinis,99,14.99,http://cdn.shopify.com/s/files/1/0028/4062/products/600_db340_purple_zebra_bikini2.jpg?1257429506,3,"new Product{Name = ""Purple Zebra Print Bikini"" , Description =""If zebras were this colour in the wild...well, the giraffes would be pretty jealous thats for sure! "",Price =14.99 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/600_db340_purple_zebra_bikini2.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Bikinis"" ,QuantityInStock =3 },"
skeleton-hand-print-bikini,Skeleton Hand Print Bikini,I hope that skeleton bought her dinner first (not that he would have eaten much of it). I think this,Docblack,Bikinis,99,14.99,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB344_Skeleton_Hand_Bikini2.jpg?1257429506,4,"new Product{Name = ""Skeleton Hand Print Bikini"" , Description =""I hope that skeleton bought her dinner first (not that he would have eaten much of it). I think this"",Price =14.99 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB344_Skeleton_Hand_Bikini2.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Bikinis"" ,QuantityInStock =4 },"
childrens-black-death-and-friends-t-shirt,Children's Black Death and Friends T-Shirt,Children's black t-shirt featuring Death and all of his buddies. Mr Reaper also seems to be wearing ,Docblack,Children's T-Shirts,99,7.99,http://cdn.shopify.com/s/files/1/0028/4062/products/DB60_kids_reaper_front_full.jpg?1257429506,1,"new Product{Name = ""Children's Black Death and Friends T-Shirt"" , Description =""Children's black t-shirt featuring Death and all of his buddies. Mr Reaper also seems to be wearing "",Price =7.99 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/DB60_kids_reaper_front_full.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Children's T-Shirts"" ,QuantityInStock =1 },"
childrens-black-dragon-with-amulet,Children's Black Dragon with Amulet,"It can be hard to find alternative clothing for kids, but look no more! Black children's t-shirt, fe",Docblack,Children's T-Shirts,100,7.99,http://cdn.shopify.com/s/files/1/0028/4062/products/k_jew1a.jpg?1257429506,2,"new Product{Name = ""Children's Black Dragon with Amulet"" , Description =""It can be hard to find alternative clothing for kids, but look no more! Black children's t-shirt, fe"",Price =7.99 ,PictureUrl =""http://cdn.shopify.com/s/files/1/0028/4062/products/k_jew1a.jpg?1257429506"" ,Brand =""Docblack"" ,Type =""Children's T-Shirts"" ,QuantityInStock =2 },"
